Mean_0,Mean_1,Mean_2,Mean_3,Mean_4,Mean_5,Mean_6,Mean_7,Mean_8,Mean_9,Mean_10,Mean_11,Mean_12,Std_0,Std_1,Std_2,Std_3,Std_4,Std_5,Std_6,Std_7,Std_8,Std_9,Std_10,Std_11,Std_12,Min_0,Min_1,Min_2,Min_3,Min_4,Min_5,Min_6,Min_7,Min_8,Min_9,Min_10,Min_11,Min_12,Max_0,Max_1,Max_2,Max_3,Max_4,Max_5,Max_6,Max_7,Max_8,Max_9,Max_10,Max_11,Max_12,label
-275.70895,97.76199,4.2245626,22.153965,3.9702718,6.0960245,-17.079002,0.3458804,-7.895522,-3.843158,-8.027948,-3.1202452,-6.787239,104.5239,51.070652,29.238115,30.79888,19.390362,12.597523,20.77365,11.932265,12.114265,11.992349,13.624013,10.158492,9.174296,-98.424,196.79483,58.55207,113.91688,47.381397,45.54409,21.725952,30.417267,14.127661,22.088963,12.764349,20.50254,15.619172,-423.21368,-94.25712,-58.725906,-43.99167,-52.472263,-19.974693,-69.65477,-34.98851,-43.495193,-42.90578,-50.86486,-33.33726,-32.76943,neutro
-198.20622,37.312283,-42.020782,-18.498686,-16.686892,-8.26053,-15.3561,-15.710836,-7.868963,-4.997138,-9.533814,-5.7395897,-4.2928095,42.47872,22.817919,28.863937,17.226437,15.628394,12.695818,14.6389065,17.033129,11.079376,14.654701,15.132524,10.141919,14.043287,-117.811386,92.72611,11.653587,19.12785,10.689917,13.941179,16.83592,17.582558,17.32191,29.881134,32.658325,19.656357,40.539368,-291.68924,-22.714653,-108.731476,-58.79245,-50.942677,-45.551247,-50.69121,-50.352894,-37.56937,-27.425419,-43.684555,-28.720211,-50.918396,felicidade
-154.2168,91.56466,12.141178,11.536675,-9.3295355,-7.7594347,-18.368683,-11.714336,-8.373699,-5.8605566,-12.683268,-7.679677,-11.950349,44.19657,38.000576,23.265923,21.736055,19.941536,24.238556,16.112915,12.439301,10.328184,11.384765,9.826421,10.213697,12.503213,-68.21221,156.08023,51.468567,69.6965,42.571026,40.103256,14.661203,13.332199,11.684626,16.646809,4.551834,22.276438,18.815804,-283.07498,-19.572712,-38.018353,-39.405678,-52.62591,-60.115234,-60.51422,-41.699566,-40.328796,-35.8801,-39.832,-30.405472,-43.508224,raiva
-213.30154,35.50744,-8.452194,17.805256,-2.7639377,5.5002894,-16.858027,4.857095,-16.261007,1.5402857,-12.529261,3.7997026,-11.084391,54.968643,34.2915,26.78191,16.73787,14.857626,10.813438,15.629007,8.970793,9.946526,9.32617,8.949051,9.89315,8.179614,-65.56967,120.73819,40.334854,69.94171,44.695602,28.861485,9.126926,25.060429,4.0121956,19.163319,9.935175,21.963089,5.248838,-279.49594,-42.39041,-96.878815,-24.406338,-43.479053,-28.269077,-67.517914,-27.31815,-41.409073,-28.40969,-32.758236,-22.545982,-31.224228,raiva
-315.17126,107.890724,23.616976,35.518204,18.065178,19.96809,-2.4913423,6.299269,-1.3347052,-1.9298577,-9.235255,-6.1768227,-5.415684,105.62362,50.37307,20.83246,21.791246,21.902227,10.257994,16.887777,12.248404,11.209798,11.137855,10.984968,12.449244,7.3080144,-108.26657,200.7814,64.91623,98.37317,72.447845,52.0114,26.432167,33.93595,23.561314,31.779648,15.541058,21.445753,16.167091,-467.2956,-34.693306,-28.31279,-19.081219,-42.170143,-3.08918,-55.570637,-23.510836,-26.398739,-26.919828,-39.171143,-46.219547,-27.388868,tristeza
-238.96385,76.66526,-3.0047028,28.821554,24.089651,13.131069,-10.59342,-5.33329,-4.3275523,-8.782016,-21.859352,-6.139642,-18.576748,66.27551,60.25983,33.700462,23.212328,19.22772,13.877609,14.178819,14.413055,10.656625,13.864932,10.430078,11.204046,11.482781,-108.2552,165.42209,73.38545,81.203064,71.86955,44.202293,14.00044,22.893288,19.539997,21.006178,11.9417,23.308208,11.202118,-383.67957,-82.106285,-82.98282,-19.042175,-39.288216,-24.875757,-56.721287,-43.286545,-31.733849,-47.70627,-46.192894,-27.765955,-41.844475,tristeza
-220.3453,7.3432846,-6.0380034,2.810019,-3.6258793,-2.2224052,-5.951163,-1.3743458,-2.9353611,-1.8316786,-2.8000808,-1.3910747,-5.0412846,50.353313,30.235563,19.605034,19.884212,10.0913725,8.295478,12.577379,8.796681,5.592982,6.8957615,7.01879,7.0673237,6.7955565,-45.480396,110.72099,32.21388,69.00712,19.604294,21.44214,15.710611,15.860995,14.056221,12.808543,18.404848,15.408205,17.553219,-270.23367,-79.93565,-85.60828,-73.10895,-46.135082,-28.511902,-56.126892,-31.87706,-27.225258,-29.6708,-22.849524,-25.724468,-29.605057,raiva
-209.92285,81.35288,16.13252,25.389069,-1.3140755,10.716507,-18.424126,4.2929344,-14.2826185,-4.0131264,-8.368299,-0.18994904,-6.003609,63.10997,48.704906,26.500862,21.120852,19.664186,15.815956,15.26956,12.576261,12.459944,12.40666,8.21919,10.686477,10.290825,-103.69194,156.748,66.746765,83.40155,51.335617,47.056004,12.348552,35.183918,9.4441395,20.939367,15.224915,29.177526,16.15323,-348.61176,-51.230927,-53.621433,-29.58786,-54.77302,-33.007072,-61.17007,-25.175732,-46.24779,-29.268337,-29.255327,-26.502369,-26.887741,neutro
-230.74171,55.36984,12.29275,16.317547,5.7583046,10.376675,-3.257915,5.766951,-1.7401323,-3.6491318,-6.965832,-1.1941758,-7.1474123,59.827843,42.869278,16.582304,17.327105,18.338436,16.946686,15.691158,10.300179,8.953884,10.96243,9.1617155,9.210487,6.664553,-110.99583,147.91608,59.929688,79.67671,52.527405,44.131145,31.286236,28.77873,12.796143,17.524426,10.662518,23.779312,7.752514,-339.15488,-23.816475,-43.19511,-19.49752,-33.884228,-53.075314,-44.734264,-20.95218,-31.966553,-35.10358,-31.206326,-25.657385,-25.027893,neutro
-190.28955,76.01277,-20.196846,12.538663,-3.508448,17.26297,-14.612245,-7.0510893,-8.2065935,3.8616238,-19.496952,-1.0752722,-11.646394,48.408768,34.830654,25.383852,24.63691,23.424152,15.986907,13.952606,12.329274,8.060599,9.635996,11.873733,10.078002,9.233508,-98.74204,145.24667,45.6031,69.656296,51.28713,51.462734,19.024223,27.219612,10.450261,25.350737,9.502449,18.23339,15.737191,-304.00662,-4.765623,-75.26919,-44.004253,-54.347267,-29.110603,-61.291267,-41.153942,-28.787367,-25.268131,-51.09648,-27.17096,-34.08561,felicidade
