Mean_0,Mean_1,Mean_2,Mean_3,Mean_4,Mean_5,Mean_6,Mean_7,Mean_8,Mean_9,Mean_10,Mean_11,Mean_12,Std_0,Std_1,Std_2,Std_3,Std_4,Std_5,Std_6,Std_7,Std_8,Std_9,Std_10,Std_11,Std_12,Min_0,Min_1,Min_2,Min_3,Min_4,Min_5,Min_6,Min_7,Min_8,Min_9,Min_10,Min_11,Min_12,Max_0,Max_1,Max_2,Max_3,Max_4,Max_5,Max_6,Max_7,Max_8,Max_9,Max_10,Max_11,Max_12,label
-271.90137,83.5653,14.376686,13.066721,-0.36153048,8.2050295,-3.6959162,-2.9788196,-12.96329,-7.5794315,-7.2858534,-0.3725966,-5.047991,78.38754,50.484715,20.560234,15.823666,13.4465275,15.605507,13.081969,15.557926,11.954877,9.353506,10.3441925,10.28775,11.204736,-134.25415,169.68756,70.122444,64.945816,39.715866,47.199593,20.482777,18.751656,9.195807,12.093402,12.677694,21.244678,20.3199,-446.8787,-27.95672,-29.109306,-26.497778,-43.079666,-32.358414,-36.8214,-49.016876,-49.28529,-36.475304,-42.084946,-31.119305,-32.223087,felicidade
-152.1436,61.462166,11.130792,21.38422,8.752918,8.269057,-1.3204198,10.658315,-10.337605,-3.9697163,-0.739859,8.575699,0.31193498,71.01225,50.32756,26.775711,20.521208,18.10371,21.953604,13.069971,9.096079,14.928737,10.6202965,7.294808,8.958777,8.385993,-50.83782,144.62692,59.962116,84.7771,59.163776,54.16321,22.365715,31.86937,19.861362,18.033773,13.810439,30.23284,17.448166,-317.6991,-63.85661,-82.09708,-17.450455,-29.545483,-35.359238,-36.757286,-11.4555025,-42.454384,-28.028326,-20.749397,-15.058491,-20.914398,neutro
-184.53479,80.88521,-4.7120175,39.192867,23.636065,21.079838,0.24163243,12.09501,-3.7302418,-1.4059844,-17.398214,1.0582776,-13.157076,66.16948,54.372,31.420275,18.199417,17.012877,14.237725,11.321047,11.190313,11.785391,13.600805,9.656017,12.787249,9.33825,-52.764404,176.5473,50.548695,81.29648,65.9942,53.426964,24.044937,36.814125,19.956768,26.324532,7.3702135,28.373695,5.73004,-367.71063,-57.99601,-81.91507,-2.063997,-25.361395,-9.906416,-35.640076,-10.173445,-34.756268,-36.451313,-47.891636,-32.79017,-39.798233,tristeza
-196.55415,61.020016,13.26498,46.96724,19.306595,25.910053,0.5459385,7.2637415,-9.889011,-6.6948304,-8.867484,-6.033479,-18.263987,67.72714,55.457893,30.837542,21.337948,13.209758,16.153837,8.579554,10.624965,13.338838,10.449066,12.405154,14.679643,7.2367783,-60.226086,133.0489,74.77453,81.754,54.82705,51.860443,20.38224,37.50434,20.847752,23.165224,19.276264,25.393105,1.3126584,-390.6324,-69.85558,-50.538643,10.515547,-5.8138266,-14.170343,-23.460434,-11.227009,-39.776703,-29.70459,-40.72866,-34.852303,-36.035805,tristeza
-190.27786,134.33444,-13.540278,16.490824,7.2975297,19.18552,-18.990717,4.6900992,-18.246824,-8.793443,-14.184079,-5.7329698,-13.873962,40.33506,32.699688,20.150795,22.038332,22.923475,15.4006815,10.476076,8.539092,9.091485,12.718329,11.090292,8.809461,9.435692,-67.546455,201.64194,39.546425,64.01321,62.342632,63.26472,8.886474,22.009895,4.967847,15.946859,5.978993,14.0885315,5.7790384,-301.29865,49.784332,-60.876846,-34.52736,-38.11234,-5.647052,-39.79613,-17.544174,-41.523598,-38.426514,-40.135548,-30.063278,-34.95386,neutro
-216.67499,78.922165,-5.375482,-0.64099616,-9.205901,2.3454018,-28.742538,-7.753305,-13.860756,-9.259205,-15.862778,-4.622545,-13.89121,62.28181,44.332386,25.611872,20.761585,23.710325,19.027262,19.615204,12.491545,9.8958845,10.37023,12.6343565,12.206808,10.2781105,-99.71962,150.56078,45.954308,39.19565,23.828442,47.622448,1.7093635,19.43058,11.029061,9.490622,5.899783,22.193514,5.8476787,-369.84818,-37.07263,-58.6538,-67.89553,-72.17952,-51.415794,-72.122856,-37.05395,-35.529644,-35.44576,-40.59017,-35.469494,-49.179893,felicidade
-222.99237,101.729065,13.3746195,16.338984,2.0073845,4.6481886,-11.352836,-6.431508,-9.897738,-0.4379228,-13.896255,-7.423504,-2.9515011,64.15871,48.820198,19.93616,20.765472,18.637543,19.72247,15.024838,13.021143,13.950643,11.137141,10.075917,11.525727,11.782667,-116.750626,176.7244,54.512222,69.28448,29.545517,42.996284,15.225972,18.786016,14.31478,23.930643,8.741234,17.082514,22.861794,-389.17715,-40.609306,-29.40171,-38.255264,-46.60473,-54.360695,-54.73181,-38.448097,-39.182022,-30.732716,-40.30822,-34.347874,-28.812553,neutro
-285.63867,107.3036,8.89278,24.132103,4.937657,14.652039,-3.1394029,-1.8848639,-9.137736,-4.5993695,-5.2841625,0.06887706,-3.7922342,104.522484,49.012726,26.792068,16.452444,19.7544,17.841677,17.399107,12.678353,12.964883,9.544403,12.1602745,6.065646,7.432675,-105.03769,223.72394,53.30536,63.99713,40.64058,51.167492,22.012793,18.460854,11.481367,14.961065,16.231115,11.696642,11.427044,-456.1248,-5.915496,-50.625546,-19.552704,-38.250374,-51.177757,-42.3264,-34.882736,-44.152122,-30.793835,-40.633728,-18.786556,-26.743893,neutro
-300.9328,99.18038,-20.37493,13.055667,0.8951753,5.5263195,-22.296915,1.8603182,-8.862283,-13.061088,-4.4047985,-8.024323,-7.0277057,120.4124,41.7639,38.906586,22.720161,27.269197,24.232065,22.11798,16.160412,14.013441,14.181452,9.689768,14.551993,12.606564,-81.346085,191.55841,52.669266,60.99743,39.642784,50.421272,14.5392685,39.931267,19.640408,18.538214,16.556679,16.494684,15.830818,-543.964,6.1151824,-110.77818,-42.50065,-74.61989,-52.384357,-72.51022,-32.59805,-40.93055,-53.26899,-27.127644,-43.767548,-33.598446,felicidade
-288.22217,126.951744,16.241407,31.683834,1.1075644,10.380132,4.2209706,-1.5831695,-7.920713,-4.367831,-5.0535865,-0.9510725,-2.5485916,89.04596,49.307003,23.728296,25.602373,22.060902,21.52886,12.812088,13.92325,13.367755,9.5301285,14.282817,10.876822,8.79626,-59.25231,222.07927,71.4975,102.3224,64.259995,62.352997,35.54258,29.715706,24.780886,16.157068,29.834415,30.7384,27.249622,-451.93134,-22.135107,-46.495533,-34.2967,-47.95224,-36.56685,-43.909237,-33.82282,-49.39058,-29.891586,-55.75317,-34.072292,-23.22386,neutro
