Mean_0,Mean_1,Mean_2,Mean_3,Mean_4,Mean_5,Mean_6,Mean_7,Mean_8,Mean_9,Mean_10,Mean_11,Mean_12,Std_0,Std_1,Std_2,Std_3,Std_4,Std_5,Std_6,Std_7,Std_8,Std_9,Std_10,Std_11,Std_12,Min_0,Min_1,Min_2,Min_3,Min_4,Min_5,Min_6,Min_7,Min_8,Min_9,Min_10,Min_11,Min_12,Max_0,Max_1,Max_2,Max_3,Max_4,Max_5,Max_6,Max_7,Max_8,Max_9,Max_10,Max_11,Max_12,label
-275.70895,97.76199,4.2245626,22.153965,3.9702718,6.0960245,-17.079002,0.3458804,-7.895522,-3.843158,-8.027948,-3.1202452,-6.787239,104.5239,51.070652,29.238115,30.79888,19.390362,12.597523,20.77365,11.932265,12.114265,11.992349,13.624013,10.158492,9.174296,-98.424,196.79483,58.55207,113.91688,47.381397,45.54409,21.725952,30.417267,14.127661,22.088963,12.764349,20.50254,15.619172,-423.21368,-94.25712,-58.725906,-43.99167,-52.472263,-19.974693,-69.65477,-34.98851,-43.495193,-42.90578,-50.86486,-33.33726,-32.76943,neutro
-315.17126,107.890724,23.616976,35.518204,18.065178,19.96809,-2.4913423,6.299269,-1.3347052,-1.9298577,-9.235255,-6.1768227,-5.415684,105.62362,50.37307,20.83246,21.791246,21.902227,10.257994,16.887777,12.248404,11.209798,11.137855,10.984968,12.449244,7.3080144,-108.26657,200.7814,64.91623,98.37317,72.447845,52.0114,26.432167,33.93595,23.561314,31.779648,15.541058,21.445753,16.167091,-467.2956,-34.693306,-28.31279,-19.081219,-42.170143,-3.08918,-55.570637,-23.510836,-26.398739,-26.919828,-39.171143,-46.219547,-27.388868,tristeza
-266.60895,110.48568,-27.11536,5.825317,-11.000846,1.8697778,-26.711498,-0.040285915,-8.346734,-12.970068,-8.230478,-6.0210114,-11.316109,103.985344,38.954044,36.081936,24.85322,28.921734,23.491508,21.166594,17.792927,12.012044,12.9160795,13.495858,13.447471,9.910156,-114.51063,179.97278,69.67808,62.666992,39.086906,36.519024,22.156712,43.606384,18.054983,12.30476,14.814192,17.812502,10.302883,-495.8969,41.610775,-88.995895,-48.266113,-81.58865,-55.816994,-70.09032,-31.567436,-37.964027,-48.526104,-38.256668,-32.055893,-38.04473,felicidade
-258.953,79.40832,-15.637918,41.070805,15.739519,9.687796,-5.558969,-2.6550384,-0.65439355,-6.0854235,-20.129454,-4.7638173,-3.5848017,97.50315,60.381668,32.99478,20.467392,13.987778,17.248178,17.251528,13.348953,11.11912,11.252339,15.945273,10.679858,9.489616,-87.090034,173.57307,50.32451,90.41336,49.473526,45.669315,24.13559,24.779005,32.423832,17.33527,12.540737,17.193249,24.420952,-477.95255,-38.0644,-84.781815,-6.3598547,-29.362484,-41.10544,-49.744766,-36.770546,-27.903801,-43.62537,-57.14904,-36.421677,-27.989065,raiva
-310.3344,100.45763,-1.5306052,5.2861505,-13.938648,-3.6045473,-23.010586,0.9113615,-10.438622,-14.166007,-10.240137,-4.20516,-8.436058,125.77614,58.40642,34.812542,26.357105,22.510672,22.79477,19.044966,14.901507,14.019162,13.067906,12.759371,8.805845,8.05005,-140.20451,195.16064,68.5503,66.601944,23.244915,52.411297,7.3220696,48.88897,26.55712,11.514702,17.255545,15.428823,19.535454,-526.6365,-43.081947,-93.52936,-84.33348,-84.89063,-72.273,-77.81796,-34.378998,-55.621742,-40.53354,-46.27348,-41.486156,-30.093885,raiva
-256.40686,100.66073,-5.7803025,24.475859,0.62355644,7.200329,-23.688534,0.91830635,-18.45047,-7.544352,-13.772682,-5.075066,-7.3626237,125.0987,52.665146,34.502186,26.088175,26.543608,17.530857,21.898853,13.831118,15.41432,11.6331215,11.864613,10.905316,9.228603,-76.236145,207.30853,56.77481,94.51291,66.071884,49.781452,8.816292,39.301865,12.710272,29.508057,6.4367948,16.514576,25.153347,-473.72113,-56.890457,-66.597916,-25.261295,-74.25401,-34.574623,-90.170364,-34.3274,-55.698765,-39.860992,-47.232254,-36.888992,-27.488829,neutro
-369.82996,99.20518,-10.63359,14.224162,5.604709,-1.4240917,-20.911003,8.617112,-12.039031,-3.2923007,0.124753885,-7.544253,-4.945479,155.69102,49.4838,42.101257,28.218044,20.370806,16.911255,24.35292,12.174789,18.630468,11.639567,9.611294,11.402923,8.233992,-109.547905,193.77249,53.043816,113.108086,61.717216,36.812263,17.829365,47.21125,27.98345,28.587652,27.288021,15.579859,10.931929,-592.4749,-31.949276,-117.57184,-52.611115,-52.113735,-54.32362,-84.89335,-18.896343,-58.8985,-46.66618,-31.13309,-39.538773,-29.028149,raiva
-260.2504,108.53975,3.0865617,35.02633,9.276096,16.831917,0.21725693,-10.251051,-13.495587,-2.9441774,-13.798898,-6.7898746,-12.367018,87.276085,48.191357,27.068594,17.18972,20.44104,14.117291,10.34746,13.614513,14.123863,11.036901,13.537763,9.060049,9.722775,-56.649296,195.79959,51.890472,83.06022,56.850815,49.3447,22.459927,22.847954,14.046629,23.78368,17.176712,15.329042,13.966999,-418.96936,-46.01185,-68.007034,-13.881469,-44.869667,-10.8370075,-39.01116,-45.88512,-49.693756,-32.718456,-51.0884,-33.340206,-45.304596,tristeza
-278.21512,121.17878,-58.358147,-11.38115,-16.992075,5.625775,-21.33197,-4.218321,16.984594,-16.081242,-7.5675592,8.240715,-1.6796272,93.619255,27.17917,46.094666,13.359901,27.857922,20.088415,15.812287,15.850753,15.087275,13.665704,13.510285,10.617214,11.324316,-112.24027,175.58574,28.74881,21.52311,43.230118,54.460014,19.264557,29.732311,58.50248,10.877873,29.277199,30.862068,26.02348,-472.20883,42.056137,-145.61838,-47.760155,-73.04437,-46.903885,-52.324867,-48.37415,-18.734001,-55.112797,-43.40465,-24.16373,-27.61582,felicidade
-261.4394,129.87987,-5.2516007,26.337347,1.1860645,14.069018,-4.6736755,7.589708,-7.167126,0.8667756,-8.203381,5.48003,-8.300279,101.39697,60.014954,25.286732,17.49564,19.458374,16.885038,16.099781,12.405748,15.831942,9.903772,11.857794,11.044309,9.089189,-111.22931,243.4802,54.112022,74.53012,56.76581,62.276833,19.758163,44.9477,23.873905,23.741476,13.819109,39.14975,9.78713,-481.98676,-11.57309,-86.021835,-9.744043,-31.674858,-17.214506,-51.71385,-13.66099,-33.5606,-27.022823,-43.406387,-17.23579,-31.933943,neutro
-317.13217,96.72404,28.222845,21.4896,2.7779393,5.4243946,-4.709382,9.334549,-17.467676,-5.001847,-7.0342426,-0.43650207,3.8452709,118.34716,43.627895,22.303734,19.920977,15.765925,17.052929,15.412955,10.617544,19.065462,9.393141,10.482106,8.686263,9.205626,-104.105156,175.24318,81.35931,71.78856,53.508842,41.28125,24.669718,40.14007,9.250085,17.47918,18.6804,18.892548,29.75241,-477.23776,-73.452446,-38.136276,-14.291511,-24.17318,-41.897396,-37.899418,-17.742104,-75.85277,-34.181713,-40.053852,-24.677847,-19.576824,neutro
-226.41591,111.79689,-3.6074412,19.041546,2.0530999,19.309496,-18.7925,-13.099237,-6.7835517,-4.2586017,-14.604805,-8.281844,-9.042755,90.69928,68.5746,26.808764,28.033207,22.498112,22.250608,17.5099,13.874033,13.662765,12.96623,10.693988,9.345923,10.312647,-98.52726,223.16298,61.725758,81.79576,56.30334,83.13612,21.586563,20.289762,28.786404,18.784378,11.626162,16.26853,16.792679,-448.00967,-63.335487,-59.52189,-50.27738,-57.874294,-28.402672,-70.54133,-53.78799,-43.526863,-41.227825,-43.77295,-33.51133,-43.91011,felicidade
-327.92886,64.39797,-45.668224,-5.627316,-32.760876,-5.1057916,-22.217205,-1.876053,-6.9311795,-21.45839,-16.354517,-11.412785,-4.782992,86.89614,43.40568,42.703163,21.0582,21.074924,19.086308,17.697876,16.257511,12.717401,13.616781,10.761484,10.627147,9.883292,-150.98715,134.63869,36.920143,83.83673,14.223076,40.808792,15.861057,41.271034,26.348717,10.373339,20.538479,16.930977,22.5565,-516.24,-69.49554,-154.71231,-54.574753,-90.00436,-50.84819,-70.26067,-46.732124,-34.507557,-69.82271,-38.953815,-44.149822,-30.617844,felicidade
-292.04135,118.92059,12.346724,29.692322,3.8207946,12.536691,-0.37881252,5.350322,-4.8988476,-1.3219634,-4.4636536,1.1980923,0.8295208,87.172264,58.23788,23.896666,19.542492,19.980612,17.198221,16.178076,14.350357,11.2793665,9.40652,10.53138,9.244204,7.444688,-121.08857,245.94226,53.252655,95.71512,50.21944,49.264236,29.72713,42.973877,19.213367,21.356552,13.872583,20.289413,22.642414,-444.83347,-35.083595,-50.098892,-7.9028687,-57.31903,-32.539814,-54.97833,-36.188675,-36.488556,-33.19287,-33.467323,-26.437067,-22.345108,tristeza
-285.6387,107.3036,8.892782,24.132105,4.9376574,14.652039,-3.1394024,-1.8848648,-9.137736,-4.5993695,-5.284162,0.06887656,-3.7922335,104.522484,49.01273,26.79207,16.452444,19.754402,17.841677,17.399109,12.678353,12.964883,9.544404,12.1602745,6.065646,7.432676,-105.03769,223.72394,53.305367,63.99713,40.640587,51.167496,22.01279,18.460854,11.481367,14.961065,16.231117,11.69664,11.427046,-456.1248,-5.915493,-50.62555,-19.552704,-38.250374,-51.17776,-42.3264,-34.882736,-44.152122,-30.793835,-40.633736,-18.786556,-26.743893,neutro
-282.44754,121.76851,14.371442,17.582626,4.8092027,6.773121,-15.386552,7.781163,-11.344805,-2.5402715,0.66731435,-3.2041457,0.81605065,119.02348,46.141235,23.411758,22.62678,20.80604,16.400682,17.53314,9.499844,18.045351,10.374847,7.462115,13.238085,8.093873,-63.30032,209.83438,69.44562,90.90256,53.790276,40.444138,14.91329,31.940384,15.524973,17.050068,16.301285,28.532068,22.3813,-445.65582,-36.25744,-59.691536,-34.90555,-47.96216,-35.651558,-62.305424,-15.131585,-57.63153,-33.965836,-16.616875,-40.498154,-27.618114,neutro
-329.69913,78.83997,6.6121755,20.814522,2.9899507,5.871246,-5.1438694,10.96732,-14.714056,-6.8029723,-5.2376084,-2.196979,-0.90217423,151.96602,58.6883,26.129892,24.383804,20.43497,22.42766,20.447615,12.003988,20.25175,11.112881,8.372491,14.088027,11.479668,-98.137215,179.96906,65.14159,79.757935,44.938507,47.821022,26.129303,40.64894,22.594887,20.444822,19.75623,44.060307,25.005465,-561.35846,-76.6676,-65.7902,-22.386501,-48.914406,-66.50573,-69.026665,-25.795155,-66.348335,-31.129602,-27.739222,-49.612167,-29.23497,neutro
-308.9939,102.36883,16.967533,34.512497,16.73836,19.546558,-3.2241962,2.3430104,-4.1350684,-5.035161,-4.9477434,-6.6013026,-6.920681,98.576706,55.384415,26.020845,22.12215,18.214714,10.586534,17.160202,9.811039,12.76915,12.347067,9.446524,12.612427,9.033604,-139.99161,206.59601,71.617714,102.951385,57.187553,48.052216,32.548912,32.703667,40.3274,22.08952,18.577492,19.657372,13.671728,-470.8426,-47.439404,-73.631134,-16.199524,-29.629473,-12.781065,-52.46846,-18.934505,-32.596634,-34.459877,-28.549007,-38.92667,-35.08441,tristeza
-203.20966,63.097637,-14.310865,32.05537,-3.2266586,6.6596026,-8.401828,8.20826,1.042398,-3.7648911,-8.966039,7.3780117,4.636133,154.61554,58.095917,29.800314,27.567524,25.212265,23.743711,15.998387,11.430598,11.501238,13.163726,12.829237,12.326282,12.521448,30.689098,166.70885,65.476364,89.635315,56.641838,60.711845,35.047997,45.633316,32.125076,26.36613,19.521393,35.190514,30.486992,-513.4692,-79.88252,-79.035835,-32.310516,-52.24487,-54.902153,-46.587746,-21.704092,-53.39764,-38.154396,-41.12252,-26.637478,-28.009354,raiva
-298.36374,83.28034,5.161194,28.231905,11.565863,8.757134,-4.35409,5.3871994,-19.026377,-7.044418,-3.08694,3.8786457,-2.6806924,129.82457,54.89753,34.683193,20.026285,13.594142,17.620693,13.387399,12.173268,23.642467,11.241938,11.119919,14.874943,11.791649,-73.29996,190.67984,81.002625,82.49513,40.16809,43.59504,30.37796,46.705986,20.244686,19.202866,21.727592,42.376343,27.278603,-505.77982,-75.277725,-79.338104,-13.859425,-30.265423,-35.707253,-37.654457,-17.291048,-75.875854,-37.417168,-43.185783,-27.640217,-35.13112,neutro
